ticker,DHR US Equity,EW UN Equity,HIG US EQUITY,NDAQ US EQUITY,PANW US EQUITY,TDY US EQUITY,VRTX US Equity
DHR US Equity,0.00027908525040832265,7.545748985698704e-05,5.446223898282924e-05,8.573252977017551e-05,8.212339716136037e-05,8.43136751622811e-05,6.598433590265413e-05
EW UN Equity,7.545748985698704e-05,0.0004474153282113543,4.309696542459825e-05,3.7293975194682504e-05,9.038668755393014e-05,6.572131831811402e-05,3.44997547967398e-05
HIG US EQUITY,5.446223898282924e-05,4.309696542459825e-05,0.00016773788329136287,6.800786102412158e-05,3.946619668041128e-05,6.936136916423972e-05,2.937720327890765e-05
NDAQ US EQUITY,8.573252977017551e-05,3.7293975194682504e-05,6.800786102412158e-05,0.0001985573114959491,8.33947558752747e-05,7.977635614713845e-05,4.305413564296616e-05
PANW US EQUITY,8.212339716136037e-05,9.038668755393014e-05,3.946619668041128e-05,8.33947558752747e-05,0.0006206229716349815,8.568858237463574e-05,7.580244029262757e-05
TDY US EQUITY,8.43136751622811e-05,6.572131831811402e-05,6.936136916423972e-05,7.977635614713845e-05,8.568858237463574e-05,0.00019129653792325087,4.156064019676962e-05
VRTX US Equity,6.598433590265413e-05,3.44997547967398e-05,2.937720327890765e-05,4.305413564296616e-05,7.580244029262757e-05,4.156064019676962e-05,0.000308293957514649
