asset_i,asset_j,rho,t_stat,p_value,significant_at_alpha
DHR US Equity,EW UN Equity,0.3180725615839115,11.267874829757119,0.0,True
DHR US Equity,HIG US EQUITY,0.3014359010931358,10.617811301900476,0.0,True
DHR US Equity,NDAQ US EQUITY,0.44452608620896833,16.666993765158708,0.0,True
DHR US Equity,PANW US EQUITY,0.2945469230155887,10.351804837054841,0.0,True
DHR US Equity,TDY US EQUITY,0.4189164133283736,15.494737241092889,0.0,True
DHR US Equity,VRTX US Equity,0.2756097477090444,9.6295038227888,0.0,True
EW UN Equity,HIG US EQUITY,0.20413053375649853,7.003333609333699,4.285904964262954e-12,True
EW UN Equity,NDAQ US EQUITY,0.25089676126032157,8.704985130468867,0.0,True
EW UN Equity,PANW US EQUITY,0.25196514498701184,8.74456038947176,0.0,True
EW UN Equity,TDY US EQUITY,0.29804610866797143,10.486695388946586,0.0,True
EW UN Equity,VRTX US Equity,0.14182499731362447,4.811933651783073,1.6975599541613207e-06,True
HIG US EQUITY,NDAQ US EQUITY,0.3931890399766043,14.362307491154471,0.0,True
HIG US EQUITY,PANW US EQUITY,0.16759716513803924,5.709629491349771,1.4467915310234503e-08,True
HIG US EQUITY,TDY US EQUITY,0.4482133111400113,16.839819136923953,0.0,True
HIG US EQUITY,VRTX US Equity,0.1951685933287988,6.68339974867793,3.661759784279184e-11,True
NDAQ US EQUITY,PANW US EQUITY,0.32009340363698574,11.34760778272441,0.0,True
NDAQ US EQUITY,TDY US EQUITY,0.46046871276163626,17.42208910421059,0.0,True
NDAQ US EQUITY,VRTX US Equity,0.22809492021925162,7.868143033731513,8.43769498715119e-15,True
PANW US EQUITY,TDY US EQUITY,0.31674273047373624,11.215499254420891,0.0,True
PANW US EQUITY,VRTX US Equity,0.19200245867786406,6.570792377668851,7.628497833422898e-11,True
TDY US EQUITY,VRTX US Equity,0.23103169325247103,7.975120864172328,3.774758283725532e-15,True
