,model,AIC,BIC,nu,omega,alpha[1],beta[1],persistence_alpha_plus_beta
DHR US Equity,"GARCH(1,1)-StudentT",4276.9511852215965,4302.101049780128,3.976413027089218,0.6994824144934325,0.13743704644634186,0.6545211661289579,0.7919582125752997
EW UN Equity,"GARCH(1,1)-StudentT",4413.920445693514,4439.070310252046,3.3585005498687144,0.5647634399651066,0.07670435691784341,0.7834398280119163,0.8601441849297596
HIG US EQUITY,"GARCH(1,1)-StudentT",3764.3131930416143,3789.4630576001464,4.780810228580406,0.27391741163992944,0.12624371901140244,0.7365236630911115,0.8627673821025139
NDAQ US EQUITY,"GARCH(1,1)-StudentT",3853.2063228414013,3878.3561873999333,3.995769601168909,0.2788663032589457,0.11893669330985132,0.7639016149843616,0.882838308294213
PANW US EQUITY,"GARCH(1,1)-StudentT",5005.670662469298,5030.8205270278295,3.3468726434478127,2.989830464120009,0.14046669190338731,0.4242603920469889,0.5647270839503762
TDY US EQUITY,"GARCH(1,1)-StudentT",3876.836320322475,3901.986184881007,3.8286992646043014,0.162836254471948,0.07327686131914704,0.8599043952073424,0.9331812565264894
VRTX US Equity,"GARCH(1,1)-StudentT",4102.525512511542,4127.675377070074,3.8147662524175066,0.944265684452037,0.17387599964909087,0.5014101519304931,0.6752861515795839
