date,V_usd,g_log,g_log_pct,vol_roll_ann,vol_roll_ann_pct
2022-11-18,101643.3346405031,0.01629978027381193,1.6299780273811932,,
2022-11-21,101672.00778722097,0.0002820559094613398,0.02820559094613398,,
2022-11-22,102708.12170907564,0.010139173516337615,1.0139173516337614,,
2022-11-23,103258.54593310937,0.005344802056184123,0.5344802056184124,,
2022-11-24,103258.54593310937,0.0,0.0,,
2022-11-25,103365.42945176965,0.001034570436413647,0.10345704364136471,,
2022-11-28,102613.98496132945,-0.0072963390664247075,-0.7296339066424707,,
2022-11-29,102256.25564596867,-0.0034922561507042087,-0.3492256150704209,,
2022-11-30,104144.62064531156,0.01829854334087939,1.8298543340879392,,
2022-12-01,105107.38837848495,0.009202057666399966,0.9202057666399966,,
2022-12-02,104668.06579118154,-0.0041885093879789476,-0.41885093879789476,,
2022-12-05,102856.84701911313,-0.017455877834886436,-1.7455877834886435,,
2022-12-06,101407.311429574,-0.014192993361784196,-1.4192993361784196,,
2022-12-07,101394.49104719762,-0.0001264326276875158,-0.012643262768751582,,
2022-12-08,101438.8128504393,0.0004370268895236594,0.04370268895236594,,
2022-12-09,100732.76349609104,-0.006984683381680857,-0.6984683381680857,,
2022-12-12,102187.88654012002,0.014342039474071118,1.4342039474071118,,
2022-12-13,102139.60178761519,-0.0004726212199717287,-0.04726212199717287,,
2022-12-14,102006.82697651802,-0.0013007803332396562,-0.13007803332396561,,
2022-12-15,99655.52124002409,-0.023320290740516267,-2.3320290740516265,,
2022-12-16,98511.78298671076,-0.011543286192097674,-1.1543286192097675,0.17133520912576583,17.133520912576582
2022-12-19,97362.42766972858,-0.01173578190502303,-1.1735781905023028,0.1636077492076287,16.360774920762868
2022-12-20,97422.79327474054,0.0006198171160197363,0.06198171160197363,0.16367255665842464,16.367255665842464
2022-12-21,98261.74285272909,0.008574563271768892,0.8574563271768892,0.16229034922620678,16.229034922620677
2022-12-22,97719.57503295495,-0.00553286618051289,-0.553286618051289,0.1603597546786431,16.03597546786431
2022-12-23,97449.2179661769,-0.0027704966101807105,-0.27704966101807105,0.16007517025756773,16.007517025756773
2022-12-26,97449.2179661769,0.0,0.0,0.1598062703312166,15.98062703312166
2022-12-27,97141.65943781346,-0.003161081224067383,-0.3161081224067383,0.15898233291214084,15.898233291214083
2022-12-28,96404.2981509335,-0.0076195324717197345,-0.7619532471719734,0.1599111828399627,15.99111828399627
2022-12-29,98121.35049188118,0.01765419572100258,1.7654195721002581,0.15885174945415553,15.885174945415553
2022-12-30,97730.02165280592,-0.003996187063356781,-0.3996187063356781,0.1527091545393661,15.27091545393661
2023-01-02,97730.02165280592,0.0,0.0,0.15314792391499524,15.314792391499523
2023-01-03,97287.48576133391,-0.004538429979219668,-0.4538429979219668,0.14435205643087853,14.435205643087853
2023-01-04,98474.95845247575,0.012131921018607782,1.2131921018607783,0.14661722647194464,14.661722647194464
2023-01-05,97115.11098595898,-0.013905300833834938,-1.3905300833834937,0.15275347472534093,15.275347472534092
2023-01-06,98355.37541204327,0.01269021317130147,1.269021317130147,0.16094816303991805,16.094816303991806
2023-01-09,97703.18769180584,-0.006653013421469815,-0.6653013421469814,0.16080901250312077,16.080901250312078
2023-01-10,98561.6658735704,0.008748215905176156,0.8748215905176157,0.1549462189226363,15.49462189226363
2023-01-11,99488.88612703115,0.009363538941487856,0.9363538941487856,0.1596203227375396,15.962032273753959
2023-01-12,99852.6430371696,0.003649588878128026,0.3649588878128026,0.16051994056580765,16.051994056580764
2023-01-13,100616.40019592646,0.007619738606757749,0.7619738606757749,0.1409396214517413,14.09396214517413
2023-01-16,100616.40019592646,0.0,0.0,0.13406039595458205,13.406039595458205
2023-01-17,101629.34473025569,0.010017051332284359,1.001705133228436,0.12909452499566978,12.909452499566978
