window,DHR US Equity,EW UN Equity,HIG US EQUITY,NDAQ US EQUITY,PANW US EQUITY,TDY US EQUITY,VRTX US Equity
1M (≈21g),0.26145807572613217,0.23639350553614494,0.14436944090238663,0.20523765558161755,0.2443628229862004,0.26385088822865255,0.1786985882136668
3M (≈63g),0.3154088111069888,0.19648689634955352,0.16586067013875563,0.20086711951838707,0.2266416100872579,0.2166755252475707,0.19705856131762808
1Y (≈252g),0.3250859411868935,0.237917229606955,0.21215216701781997,0.2353526297179566,0.34497452804513584,0.22666454947823994,0.36354787209268197
