date,V_usd,ret_pct_from_t0,drawdown_pct
2022-11-17,99999.99999999999,0.0,0.0
2022-11-18,101643.3346405031,1.6433346405031246,0.0
2022-11-21,101672.00778722097,1.672007787220986,0.0
2022-11-22,102708.12170907564,2.7081217090756615,0.0
2022-11-23,103258.54593310937,3.2585459331093913,0.0
2022-11-24,103258.54593310937,3.2585459331093913,0.0
2022-11-25,103365.42945176965,3.365429451769675,0.0
2022-11-28,102613.98496132945,2.613984961329474,-0.7269785405291884
2022-11-29,102256.25564596867,2.2562556459686967,-1.0730607048060725
2022-11-30,104144.62064531156,4.144620645311581,0.0
2022-12-01,105107.38837848495,5.107388378484967,0.0
2022-12-02,104668.06579118154,4.668065791181553,-0.41797498166488145
2022-12-05,102856.84701911313,2.856847019113151,-2.1411828360416996
2022-12-06,101407.311429574,1.4073114295739986,-3.5202824520643716
2022-12-07,101394.49104719762,1.3944910471976435,-3.53247986518076
2022-12-08,101438.8128504393,1.4388128504393194,-3.4903117512875004
2022-12-09,100732.76349609104,0.7327634960910601,-4.16205268714428
2022-12-12,102187.88654012002,2.187886540120032,-2.777637122760568
2022-12-13,102139.60178761519,2.1396017876152085,-2.823575617903229
2022-12-14,102006.82697651802,2.006826976518039,-2.949898622542124
2022-12-15,99655.52124002409,-0.34447875997589694,-5.186949483350345
2022-12-16,98511.78298671076,-1.488217013289217,-6.275111096875352
2022-12-19,97362.42766972858,-2.6375723302713983,-7.36861682916834
2022-12-20,97422.79327474054,-2.57720672525944,-7.311184515471614
2022-12-21,98261.74285272909,-1.738257147270894,-6.513001256491247
2022-12-22,97719.57503295495,-2.280424967045036,-7.02882400514696
2022-12-23,97449.2179661769,-2.5507820338230847,-7.286043855196422
2022-12-26,97449.2179661769,-2.5507820338230847,-7.286043855196422
2022-12-27,97141.65943781346,-2.858340562186523,-7.578657469813066
2022-12-28,96404.2981509335,-3.5957018490664905,-8.280188825748558
2022-12-29,98121.35049188118,-1.8786495081188015,-6.646571658166877
2022-12-30,97730.02165280592,-2.269978347194057,-7.01888500845782
2023-01-02,97730.02165280592,-2.269978347194057,-7.01888500845782
2023-01-03,97287.48576133391,-2.712514238666075,-7.439917153104469
2023-01-04,98474.95845247575,-1.5250415475242307,-6.310146249782401
2023-01-05,97115.11098595898,-2.8848890140410033,-7.603915876728184
2023-01-06,98355.37541204327,-1.6446245879567112,-6.423918499552206
2023-01-09,97703.18769180584,-2.2968123081941405,-7.044415051030528
2023-01-10,98561.6658735704,-1.4383341264295857,-6.227652124076966
2023-01-11,99488.88612703115,-0.511113872968838,-5.345487446821473
2023-01-12,99852.6430371696,-0.14735696283038058,-4.999406247630612
2023-01-13,100616.40019592646,0.6164001959264809,-4.272761650576584
2023-01-16,100616.40019592646,0.6164001959264809,-4.272761650576584
2023-01-17,101629.34473025569,1.6293447302557107,-3.3090382149968844
2023-01-18,100699.81299327184,0.6998129932718644,-4.19340205594464
2023-01-19,100055.72055498582,0.05572055498583861,-4.806196692194842
2023-01-20,101233.20245725276,1.23320245725278,-3.6859311043687004
2023-01-23,102150.54146082012,2.1505414608201434,-2.813167526356386
2023-01-24,101408.03542051799,1.4080354205179946,-3.5195936413583206
2023-01-25,101395.7390627363,1.395739062736312,-3.531292493333793
2023-01-26,102776.17210678196,2.7761721067819822,-2.2179375852327543
2023-01-27,102642.56644971261,2.6425664497126355,-2.345051063296011
2023-01-30,101494.18023270593,1.4941802327059328,-3.437634786213206
2023-01-31,102358.17600813897,2.35817600813899,-2.6156223770361864
2023-02-01,103278.95651816903,3.2789565181690516,-1.7395845225759543
2023-02-02,103587.38029589178,3.5873802958917844,-1.446147702880518
2023-02-03,102580.45105830336,2.580451058303379,-2.404148137600237
2023-02-06,101382.06488649477,1.3820648864947938,-3.544302212681305
2023-02-07,102557.40958822965,2.5574095882296755,-2.4260699743323344
2023-02-08,101163.90286364502,1.1639028636450277,-3.751863285423551
2023-02-09,100530.69322190958,0.530693221909595,-4.354303943025384
2023-02-10,101249.77691487072,1.2497769148707372,-3.670162034397828
2023-02-13,101904.49824246799,1.9044982424680112,-3.047254988853454
2023-02-14,101453.20349031544,1.4532034903154578,-3.476620382775586
2023-02-15,102442.1516398144,2.442151639814427,-2.5357272973743794
2023-02-16,101100.78140240621,1.1007814024062146,-3.8119175425148977
2023-02-17,101543.82081636011,1.5438208163601308,-3.3904063425994946
2023-02-20,101543.82081636011,1.5438208163601308,-3.3904063425994946
2023-02-21,99631.22075294556,-0.3687792470544182,-5.210069158811226
2023-02-22,101044.80681843113,1.044806818431132,-3.8651722040935144
2023-02-23,101747.21900829546,1.7472190082954864,-3.196891695272386
2023-02-24,100828.27843536084,0.828278435360863,-4.071179019038418
2023-02-27,101087.58243590512,1.0875824359051434,-3.8244751435596136
2023-02-28,102103.76072376964,2.1037607237696543,-2.857675089309075
2023-03-01,101608.29194191193,1.6082919419119435,-3.329068004213931
2023-03-02,102183.62724088252,2.183627240882524,-2.781689453717706
2023-03-03,103054.23690730076,3.054236907300778,-1.953384536385705
2023-03-06,101937.22357463997,1.9372235746399902,-3.0161198491864494
2023-03-07,100679.73929176037,0.679739291760395,-4.212500334211422
2023-03-08,100117.26012052027,0.11726012052029056,-4.747647463178851
2023-03-09,98946.73159325357,-1.0532684067464104,-5.861297555075051
2023-03-10,97710.49812762436,-2.289501872375621,-7.037459844616112
2023-03-13,98106.99442848888,-1.8930055715111083,-6.660230130338796
2023-03-14,99201.23493326218,-0.7987650667378055,-5.619161065971012
2023-03-15,98581.10424237794,-1.4188957576220407,-6.209158306365936
2023-03-16,101134.2342258142,1.1342342258142235,-3.780090261936364
