,omega,alpha[1],beta[1],nu,persistence_alpha_plus_beta,AIC,BIC,gamma[1]
"GARCH(1,1)-t",0.12319864370692832,0.05068419206443664,0.8047044665412115,4.862151938046935,0.8553886586056482,2020.583897485876,2043.8931711886025,
"EGARCH(1,1,1)-t",-0.016072532354340384,0.07507750031291772,0.9095982229326259,4.900048121577492,,2015.988078527795,2043.959206971067,-0.0920971875314695
