ticker,var_parametric,var_historical,var_mc_gaussian
DHR US Equity,2843.5030689275886,2678.532582845616,2850.975190202043
EW UN Equity,3539.678707222782,2693.541691930701,3529.917638543667
HIG US EQUITY,2172.4191952152582,2174.9531939983526,2177.8428977866306
NDAQ US EQUITY,2345.358996710878,2267.4935105844174,2332.749033788051
PANW US EQUITY,4100.123428390901,3726.7642925068567,4087.8192016835733
TDY US EQUITY,2389.3803919653456,2284.587739312427,2402.920109503881
VRTX US Equity,2830.2005739304414,2325.540634674328,2818.387900067165
